j0,j1,j2,j3,j4,j5,j6
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346145
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346147
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75772,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346147
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346146
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75772,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346155
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75772,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75772,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75772,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346146
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346144
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346146
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346146
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346147
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346144
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51611,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346147
-1.63515,1.51612,1.38824,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51611,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38824,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346155
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38824,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346146
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346155
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346147
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346146
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63517,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346156
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346145
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.7577,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.7577,-0.346152
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59988,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346147
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346146
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38824,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38824,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59988,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02994,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38822,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02994,-1.59987,1.75771,-0.346156
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346155
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346147
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346147
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38824,-2.02992,-1.59987,1.75771,-0.346153
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346145
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346147
-1.63515,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38824,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51613,1.38823,-2.02994,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02994,-1.59987,1.75771,-0.346153
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63515,1.51613,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38824,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02994,-1.59987,1.75771,-0.346149
-1.63515,1.51612,1.38822,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38822,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346145
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346155
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
-1.63516,1.51612,1.38823,-2.02992,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346154
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346145
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346151
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346144
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346149
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346152
-1.63515,1.51612,1.38824,-2.02993,-1.59987,1.75771,-0.34615
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346148
-1.63515,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.34615
-1.63516,1.51612,1.38823,-2.02993,-1.59987,1.75771,-0.346153
